model,variant,trainable_parameters,training_seconds,test_evaluation_seconds,checkpoint_bytes,peak_gpu_memory_bytes,relative_path,family,inference_batch_1_batch_size,inference_batch_1_mean_batch_latency_ms,inference_batch_1_mean_latency_ms_per_sample,inference_batch_1_throughput_samples_per_second,inference_batch_1_warmup_iterations,inference_batch_1_measurement_iterations,inference_batch_default_batch_size,inference_batch_default_mean_batch_latency_ms,inference_batch_default_mean_latency_ms_per_sample,inference_batch_default_throughput_samples_per_second,inference_batch_default_warmup_iterations,inference_batch_default_measurement_iterations,inference_conv_linear_macs_per_sample,inference_approx_conv_linear_flops_per_sample,inference_macs_scope_note,prediction_seconds,test_samples,mean_latency_ms_per_sample,throughput_samples_per_second,serialized_model_bytes,number_of_trees,total_leaves,input_dimension,training_rows
cnn,full,20290.0,63.249984569847584,1.354742370545864,88629.0,20923392.0,main/unsw_nb15/cnn/seed_43/efficiency.json,main,1.0,0.21311499178409576,0.21311499178409576,4692.302459008083,20.0,100.0,128.0,0.21687470376491547,0.001694333623163402,590202.5352792988,20.0,100.0,316544.0,633088.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
cnn,full,20290.0,62.83334919810295,1.330608680844307,88629.0,20923392.0,main/unsw_nb15/cnn/seed_44/efficiency.json,main,1.0,0.21795354783535004,0.21795354783535004,4588.133618065424,20.0,100.0,128.0,0.21947845816612244,0.0017146754544228315,583200.7435696366,20.0,100.0,316544.0,633088.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
cnn,full,20290.0,61.37493832409382,1.3485779613256454,88629.0,20923392.0,main/unsw_nb15/cnn/seed_45/efficiency.json,main,1.0,0.21325752139091492,0.21325752139091492,4689.166381930018,20.0,100.0,128.0,0.21721631288528442,0.0016970024444162846,589274.3427037129,20.0,100.0,316544.0,633088.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
cnn,full,20290.0,63.07154864817858,1.365065023303032,88629.0,20923392.0,main/unsw_nb15/cnn/seed_46/efficiency.json,main,1.0,0.21957702934741974,0.21957702934741974,4554.210442558531,20.0,100.0,128.0,0.2219349890947342,0.0017338671023026109,576745.4718253663,20.0,100.0,316544.0,633088.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
lstm,full,27010.0,66.78999356925488,1.3695499822497368,111801.0,43693056.0,main/unsw_nb15/lstm/seed_42/efficiency.json,main,1.0,0.15895523130893707,0.15895523130893707,6291.079518210082,20.0,100.0,128.0,0.16614004969596863,0.001297969138249755,770434.3427983572,20.0,100.0,128.0,256.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
gru,full,20290.0,68.48363669961691,1.3644378781318665,84921.0,42728960.0,main/unsw_nb15/gru/seed_42/efficiency.json,main,1.0,0.14779210090637207,0.14779210090637207,6766.261483984933,20.0,100.0,128.0,0.15590116381645203,0.0012179778423160315,821032.9985137183,20.0,100.0,128.0,256.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
tcn,full,72770.0,93.23304826766253,1.7116005271673203,309237.0,34147840.0,main/unsw_nb15/tcn/seed_42/efficiency.json,main,1.0,0.64155712723732,0.64155712723732,1558.7076466693006,20.0,100.0,128.0,0.6452864408493042,0.005041300319135189,198361.5211742722,20.0,100.0,1649408.0,3298816.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
xgboost,full,,25.42355304956436,,,,main/unsw_nb15/xgboost/seed_42/efficiency.json,main,,,,,,,,,,,,,,,,0.06090574711561203,82317.0,0.0007398926967164988,1351547.3317114864,389476.0,300.0,,624.0,149025.0
xgboost,full,,25.405822537839413,,,,main/unsw_nb15/xgboost/seed_43/efficiency.json,main,,,,,,,,,,,,,,,,0.0527057945728302,82317.0,0.0006402783698729327,1561820.6815239696,398009.0,300.0,,624.0,149025.0
xgboost,full,,25.195722229778767,,,,main/unsw_nb15/xgboost/seed_44/efficiency.json,main,,,,,,,,,,,,,,,,0.052385710179805756,82317.0,0.000636389933790174,1571363.6355689324,393297.0,300.0,,624.0,149025.0
